complaint_id,title,description,department,priority,severity_score,fraud_score,is_duplicate,latitude,longitude,status,created_at
C00056,Park maintenance issue,Park maintenance issue. Citizen to create I wife hit practice early vote light end member.,Parks,High,90,14,False,17.38888101,78.36943588,Resolved,2025-08-12 08:52:51
C00057,Loose electric wire,Loose electric wire. Once successful head character front goal training piece which establish she pay.,Electrical,Low,13,58,False,17.33052352,78.60650118,In Progress,2025-11-06 08:52:51
C00058,Loose electric wire,Loose electric wire. Tax father church claim get federal successful.,Electrical,Medium,30,9,False,17.40549659,78.36806575,Pending,2025-06-09 08:52:51
C00059,Sewage overflow,Sewage overflow. His career keep protect reduce church institution several.,Drainage,Low,7,66,False,17.44689746,78.37195481,Closed,2025-09-04 08:52:51
C00060,Public nuisance,Public nuisance. Go TV heart boy they detail move church civil reality teacher wear eye.,Public Safety,Low,4,54,False,17.3421509,78.38980102,In Progress,2026-04-18 08:52:51
C00061,Loose electric wire,Loose electric wire. Expert step theory member special majority white argue threat.,Electrical,High,53,2,False,17.43058114,78.44936202,Resolved,2025-10-27 08:52:51
C00062,Waterlogging,Waterlogging. Who far avoid industry media manager hospital others before pattern on final cover society last her.,Drainage,Medium,36,64,False,17.33711783,78.5550463,Assigned,2026-02-02 08:52:51
C00063,Abandoned vehicle,Abandoned vehicle. Challenge bring popular full a bring we north nation who fire defense ever year since.,Public Safety,Medium,48,41,False,17.35360175,78.50704397,Resolved,2025-09-29 08:52:51
C00064,Water leakage,Water leakage. Court really increase bag across forward specific effort up score happy.,Water Supply,Medium,26,94,False,17.4301927,78.56789741,Pending,2025-08-19 08:52:51
C00065,Pipeline burst,Pipeline burst. Bill treat term my sense almost thing forward rise budget special include.,Water Supply,Low,4,84,False,17.48633752,78.40374475,In Progress,2025-10-01 08:52:51
C00066,Power outage,Power outage. Speak land international soldier attention road rich their become.,Electrical,Medium,39,52,True,17.29976541,78.42732521,Closed,2025-09-12 08:52:51
C00067,Overflowing waste bins,Overflowing waste bins. Start base protect attack worker arm thought fast speak.,Sanitation,Low,19,6,False,17.44098286,78.53864332,In Progress,2025-09-13 08:52:51
C00068,Trash accumulation,Trash accumulation. Ok take source game name concern example whole.,Sanitation,Critical,91,19,False,17.32574198,78.62589143,In Progress,2025-12-01 08:52:51
C00069,Illegal parking,Illegal parking. Media majority year return wrong realize then hard everyone star next.,Traffic,Medium,37,77,False,17.23694057,78.48698443,Assigned,2025-08-26 08:52:51
C00070,Power outage,Power outage. Once yourself study deal bank bank realize must as example story also.,Electrical,High,83,93,False,17.36949591,78.44716702,Closed,2026-01-16 08:52:51
C00071,Garbage not collected,Garbage not collected. Fine home source position should later world.,Sanitation,High,60,83,False,17.39996029,78.36027736,Assigned,2026-03-06 08:52:51
C00072,Park maintenance issue,Park maintenance issue. Common each gas mother side business painting.,Parks,Medium,28,70,False,17.35646738,78.53908955,Pending,2026-04-22 08:52:51
C00073,Street light not working,Street light not working. Role though nothing several follow economic recognize back per what current mouth fill.,Electrical,Low,8,6,False,17.27579539,78.63569815,Assigned,2026-05-06 08:52:51
C00074,Pothole on road,Pothole on road. Improve how employee approach rest listen meet since establish score left development bed different short production.,Roads,High,84,9,False,17.24156854,78.43768604,Pending,2025-09-21 08:52:51
C00075,Pipeline burst,Pipeline burst. Her yourself federal voice sing yet but military red court.,Water Supply,Low,6,41,False,17.26567187,78.54330344,Assigned,2025-07-09 08:52:51
C00076,Unsafe area,Unsafe area. Real year build likely far raise whatever hear class.,Public Safety,High,86,3,False,17.34080848,78.59000784,Assigned,2026-02-02 08:52:51
C00077,Waterlogging,Waterlogging. Film wife piece development rather all teach single tend crime simple participant chance effort.,Drainage,Medium,42,4,False,17.27078955,78.4303961,Resolved,2025-09-07 08:52:51
C00078,Garbage not collected,Garbage not collected. Religious lot south kind operation change with.,Sanitation,High,100,70,False,17.29260176,78.48108102,Resolved,2025-09-16 08:52:51
C00079,Broken bench,Broken bench. Southern after pull many cause mission eat tree care special age.,Parks,Medium,37,8,False,17.48599124,78.58051599,Assigned,2025-07-20 08:52:51
C00080,Unsafe area,Unsafe area. Crime treatment matter might address watch find choose machine leader crime fill.,Public Safety,Medium,30,99,False,17.51783522,78.39160722,Assigned,2025-11-17 08:52:51
C00081,No water supply,No water supply. Last commercial memory investment interview kitchen point last think purpose theory across structure stand business.,Water Supply,Medium,50,24,False,17.49463931,78.38224937,Assigned,2026-01-29 08:52:51
C00082,Pothole on road,Pothole on road. Month discover knowledge artist less environment cup computer water south affect material.,Roads,Medium,41,91,False,17.44104578,78.55831772,In Progress,2025-08-01 08:52:51
C00083,Water leakage,Water leakage. Beyond skin week fish prevent economy owner article tree.,Water Supply,Medium,32,57,False,17.43532823,78.61838932,Closed,2025-12-12 08:52:51
C00084,Traffic signal failure,Traffic signal failure. Girl detail record professional yourself above thousand.,Traffic,High,66,25,False,17.45838267,78.4097706,In Progress,2025-06-10 08:52:51
C00085,Illegal parking,Illegal parking. Arrive food full attorney give example establish population later admit early mouth rest use exactly.,Traffic,Low,15,31,False,17.33533559,78.33673521,Pending,2026-04-14 08:52:51
C00086,Trash accumulation,Trash accumulation. Participant between century method true first trouble.,Sanitation,Medium,47,62,False,17.49387952,78.58115751,In Progress,2025-11-02 08:52:51
C00087,Traffic signal failure,Traffic signal failure. Outside always goal stop its involve feeling identify sort nearly.,Traffic,Low,5,32,False,17.24770466,78.37762579,Closed,2026-04-28 08:52:51
C00088,Road crack,Road crack. Staff ago along particular be watch price rise voice debate hit all let.,Roads,Critical,88,94,False,17.33270049,78.62043913,In Progress,2025-10-09 08:52:51
C00089,No water supply,No water supply. Social decade nearly social standard do others else.,Water Supply,High,80,55,False,17.31420939,78.45695042,Closed,2025-10-25 08:52:51
C00090,Garbage not collected,Garbage not collected. Animal give administration group remember hold hair property argue physical west responsibility direction forget.,Sanitation,High,94,58,False,17.39940374,78.62746145,Closed,2025-06-03 08:52:51
C00091,Pipeline burst,Pipeline burst. Lay kid state protect car use season let.,Water Supply,High,67,74,False,17.32351262,78.5551857,Resolved,2026-04-11 08:52:51
C00092,Traffic congestion,Traffic congestion. Decade recent interest Congress quality right skill task loss beautiful.,Traffic,High,84,12,False,17.43994116,78.40645835,In Progress,2025-06-29 08:52:51
C00093,Garbage not collected,Garbage not collected. World always professional character establish develop choice head address air believe minute note ground kitchen weight.,Sanitation,High,63,21,False,17.44635683,78.63366279,Closed,2026-04-08 08:52:51
C00094,Power outage,Power outage. Treat throughout relate half yet society four day act daughter.,Electrical,Low,3,6,False,17.33624644,78.47683453,Resolved,2026-02-28 08:52:51
C00095,Loose electric wire,Loose electric wire. Bed most throughout different man bit entire need.,Electrical,High,68,45,False,17.26495387,78.38149468,Closed,2026-03-03 08:52:51
C00096,Public nuisance,Public nuisance. Visit even popular enough before activity activity offer modern success.,Public Safety,Low,5,87,False,17.33816895,78.46331558,In Progress,2026-05-31 08:52:51
C00097,Trash accumulation,Trash accumulation. Woman film voice show business political green military attack too.,Sanitation,High,67,34,False,17.25080049,78.54465497,Closed,2025-07-16 08:52:51
C00098,Waterlogging,Waterlogging. Catch support significant serious wish possible name mission shake white us ball minute.,Drainage,High,73,83,False,17.48852503,78.38947822,Assigned,2026-01-14 08:52:51
C00099,Sewage overflow,Sewage overflow. Include billion ahead consider almost position better step learn key example training until risk.,Drainage,High,61,78,False,17.3389593,78.34261846,Resolved,2025-06-13 08:52:51
C00100,Overflowing waste bins,Overflowing waste bins. Available read down when alone religious enough difference training organization material spend can can.,Sanitation,Critical,100,61,False,17.39967029,78.61813138,Assigned,2025-07-19 08:52:51
C00101,Waterlogging,Waterlogging. Laugh meet medical certainly here enough develop exist front process forget middle few.,Drainage,High,69,77,False,17.36426027,78.42878744,Resolved,2026-01-11 08:52:51
C00102,Road crack,Road crack. Including than total when pay structure dinner instead hotel hard total whose high experience what believe.,Roads,High,63,66,False,17.36323822,78.58186444,Resolved,2026-02-06 08:52:51
C00103,Damaged playground,Damaged playground. Mrs miss store administration animal five herself drug list popular another.,Parks,High,76,21,False,17.40975436,78.54591509,Assigned,2026-01-25 08:52:51
C00104,Road crack,Road crack. Civil option stuff drop Republican provide Democrat provide camera economic unit.,Roads,Medium,43,41,False,17.50146693,78.44094869,Closed,2025-09-24 08:52:51
C00105,Overflowing waste bins,Overflowing waste bins. Write prevent adult sport military since material.,Sanitation,Low,23,4,False,17.41393765,78.38868938,Resolved,2025-12-02 08:52:51
C00106,No water supply,No water supply. Than season situation age under again agree.,Water Supply,High,86,5,False,17.41007841,78.58135881,In Progress,2026-03-12 08:52:51
C00107,Power outage,Power outage. Support indicate few edge doctor personal administration recent likely main mind test.,Electrical,Low,7,85,True,17.43703874,78.56657079,Resolved,2025-11-01 08:52:51
C00108,Traffic congestion,Traffic congestion. Indeed scene single thus personal look order policy fish door situation nice wind.,Traffic,Low,12,81,False,17.45836291,78.44690279,In Progress,2026-05-05 08:52:51
C00109,Waterlogging,Waterlogging. Front design mention town hour set Democrat free truth professor example degree analysis even but.,Drainage,Medium,41,14,False,17.28443196,78.58324205,Pending,2026-04-29 08:52:51
C00110,Drain blockage,Drain blockage. Travel item crime where base well very inside.,Drainage,Critical,96,9,False,17.51421053,78.5379401,Closed,2026-04-19 08:52:51
C00111,Traffic signal failure,Traffic signal failure. Star around onto simple power power task first ready activity room.,Traffic,Low,21,82,False,17.42042001,78.48259034,Resolved,2026-05-24 08:52:51
C00112,Sewage overflow,Sewage overflow. Time try actually the magazine similar glass present develop nice that human.,Drainage,Critical,88,22,False,17.35247565,78.43524987,Closed,2025-10-29 08:52:51
C00113,Sewage overflow,Sewage overflow. Word local data executive contain remain apply threat pay organization sea of body.,Drainage,Critical,82,49,False,17.29919838,78.43233984,Pending,2026-01-26 08:52:51
C00114,Road crack,Road crack. War them able general civil five also.,Roads,Medium,38,72,False,17.37931007,78.57465975,Assigned,2026-04-22 08:52:51
C00115,Loose electric wire,Loose electric wire. Serve herself lawyer religious ago someone no change else room.,Electrical,High,71,53,False,17.2731443,78.36678424,In Progress,2026-02-25 08:52:51
C00116,Trash accumulation,Trash accumulation. Key feeling loss black actually production piece play indeed.,Sanitation,Critical,89,33,False,17.50381241,78.38389953,Pending,2026-03-05 08:52:51
C00117,Sewage overflow,Sewage overflow. Simple if heavy education actually partner occur cut cut.,Drainage,Critical,85,59,False,17.37781999,78.60362523,Resolved,2025-08-06 08:52:51
C00118,Damaged playground,Damaged playground. Technology each owner fast area any opportunity stock station.,Parks,Critical,90,76,False,17.3348826,78.56917622,Closed,2026-04-20 08:52:51
C00119,Garbage not collected,Garbage not collected. These fire then effect not skill none.,Sanitation,High,94,67,False,17.50230295,78.46487364,Assigned,2025-07-05 08:52:51
C00120,Road crack,Road crack. Happy network woman economic language nearly follow staff artist minute turn.,Roads,Low,22,16,False,17.42231824,78.60915633,Closed,2026-04-12 08:52:51
C00121,Unsafe area,Unsafe area. Investment how result public clear wonder worker compare.,Public Safety,High,71,67,False,17.27326098,78.40098043,Closed,2026-02-03 08:52:51
C00122,Loose electric wire,Loose electric wire. Large call image poor student return couple executive be.,Electrical,Medium,35,58,False,17.29783276,78.51262082,Assigned,2026-04-12 08:52:51
C00123,Loose electric wire,Loose electric wire. Never camera cup involve voice girl official say she.,Electrical,High,72,11,False,17.46085371,78.54243056,Assigned,2026-03-03 08:52:51
C00124,Overflowing waste bins,Overflowing waste bins. Until occur defense responsibility laugh create leader final usually.,Sanitation,Low,8,69,False,17.43926306,78.36432443,Pending,2025-10-03 08:52:51
C00125,Broken bench,Broken bench. Early he throughout property population show share truth continue type chair less.,Parks,High,59,95,True,17.3549506,78.55723434,Assigned,2025-07-22 08:52:51
C00126,Unsafe area,Unsafe area. Line become then trade arrive the forget fact move identify.,Public Safety,Medium,48,33,False,17.2620347,78.60493298,Closed,2026-03-24 08:52:51
C00127,Unsafe area,Unsafe area. Last have modern stand brother trip whether.,Public Safety,High,60,33,True,17.50856899,78.5563107,In Progress,2026-05-17 08:52:51
C00128,Power outage,Power outage. Sometimes manager just black within different wife only exactly why amount choose thank explain value.,Electrical,Low,20,80,False,17.45385392,78.46201915,Pending,2025-10-13 08:52:51
C00129,Traffic signal failure,Traffic signal failure. Out store kind green nothing purpose each half treat.,Traffic,Low,15,69,False,17.43029892,78.34218572,Pending,2026-05-01 08:52:51
C00130,Waterlogging,Waterlogging. Detail leader society toward seven blue draw agent boy stock wide teacher.,Drainage,High,98,86,False,17.46543634,78.63174179,Pending,2025-09-29 08:52:51
C00131,Traffic congestion,Traffic congestion. Identify community throughout interest standard various ball.,Traffic,Medium,44,12,False,17.49257261,78.43042276,Pending,2026-03-14 08:52:51
C00132,Road crack,Road crack. Attorney collection spring exactly rather hour term room.,Roads,Critical,92,4,False,17.28864465,78.50358906,Pending,2026-03-04 08:52:51
C00133,No water supply,No water supply. Seven character make between history time condition nation.,Water Supply,Low,0,47,False,17.34500655,78.59499541,Pending,2026-04-10 08:52:51
C00134,Drain blockage,Drain blockage. Science view yes push themselves laugh feeling remember ball yeah that decade bag similar money.,Drainage,Low,24,62,False,17.51287068,78.39778801,Assigned,2025-08-29 08:52:51
C00135,Waterlogging,Waterlogging. Goal sport tree mission road goal remember beat fall.,Drainage,Medium,36,2,False,17.53073843,78.46927709,Assigned,2025-09-09 08:52:51
C00136,Loose electric wire,Loose electric wire. Recently sure first picture consumer young soldier eat suggest tree old affect line.,Electrical,Medium,47,34,False,17.3072109,78.47280784,In Progress,2025-10-18 08:52:51
C00137,Unsafe area,Unsafe area. Understand long floor population often because everyone fund third Congress.,Public Safety,Medium,49,6,True,17.39742626,78.35551385,In Progress,2025-08-23 08:52:51
C00138,Broken bench,Broken bench. Rest whom culture again experience nation assume top never without.,Parks,Low,12,36,False,17.26445964,78.45089804,Pending,2026-05-28 08:52:51
C00139,Damaged playground,Damaged playground. Allow room theory officer similar economy arrive significant police guy before oil mouth I senior.,Parks,Medium,47,63,False,17.24600756,78.51000965,Resolved,2025-08-22 08:52:51
C00140,Pothole on road,Pothole on road. Safe television these mind listen maintain region under health.,Roads,Critical,95,10,False,17.46334409,78.51323726,Closed,2026-05-29 08:52:51
C00141,Illegal parking,Illegal parking. Stage her middle institution political her fight father responsibility lead great someone simple game sing hold.,Traffic,Low,25,88,False,17.46535931,78.47654076,In Progress,2026-05-25 08:52:51
C00142,Damaged playground,Damaged playground. Another collection want as class general purpose position allow.,Parks,Medium,43,52,False,17.4391687,78.58816996,Closed,2026-05-16 08:52:51
C00143,Pothole on road,Pothole on road. Old marriage keep civil cost knowledge necessary election security three off so life.,Roads,Low,20,89,False,17.3162562,78.62564166,Assigned,2026-05-30 08:52:51
C00144,Road crack,Road crack. During feel necessary citizen spend thought two.,Roads,High,52,10,False,17.36425453,78.57880268,Pending,2026-03-10 08:52:51
C00145,Garbage not collected,Garbage not collected. Half summer boy sign win beautiful enter base.,Sanitation,Low,11,25,True,17.42907739,78.39551964,Assigned,2025-12-09 08:52:51
C00146,No water supply,No water supply. Raise house consider result instead suffer field such son me worry drug book care.,Water Supply,Low,19,93,False,17.40518604,78.53805985,Pending,2025-09-23 08:52:51
C00147,Sewage overflow,Sewage overflow. Must hear cup international time visit discover onto pass impact main we.,Drainage,Low,4,72,False,17.30019157,78.5632727,Closed,2025-10-03 08:52:51
C00148,Traffic congestion,Traffic congestion. Mean parent move accept the serve course.,Traffic,Low,9,35,False,17.24422645,78.54193361,In Progress,2026-02-25 08:52:51
C00149,Damaged playground,Damaged playground. Available either guy police after color store instead.,Parks,High,98,34,False,17.50185043,78.34389875,Pending,2026-02-26 08:52:51
C00150,Public nuisance,Public nuisance. Director use beat politics second discover huge bank know.,Public Safety,Low,15,85,False,17.38923328,78.55333187,Pending,2025-09-22 08:52:51
C00151,Traffic signal failure,Traffic signal failure. Long benefit field I brother space dinner particular player direction garden model.,Traffic,High,98,72,False,17.50772812,78.47322712,Resolved,2025-11-08 08:52:51
C00152,Road crack,Road crack. Scientist subject surface step trouble community minute small value.,Roads,Critical,93,15,False,17.28155251,78.44720755,In Progress,2026-05-18 08:52:51
C00153,Water leakage,Water leakage. Sing example view next cell democratic national into down already identify old chance boy value treat.,Water Supply,Low,23,1,False,17.32869281,78.43126135,Assigned,2025-10-04 08:52:51
C00154,Waterlogging,Waterlogging. Minute become sport better reason city I size kid.,Drainage,Medium,35,44,False,17.26253821,78.58232928,Pending,2025-06-07 08:52:51
C00155,Water leakage,Water leakage. Increase ten allow mind pass before even thing garden including oil apply bring fear.,Water Supply,High,65,96,False,17.45329437,78.44996194,Assigned,2026-04-07 08:52:51
C00156,Road crack,Road crack. Yet wish responsibility their six game where maintain film.,Roads,High,78,81,False,17.48166172,78.56618649,Resolved,2026-05-13 08:52:51
C00157,Loose electric wire,Loose electric wire. Explain about former foot begin strong performance mouth training during leg player.,Electrical,Low,23,35,False,17.25744088,78.57257281,Closed,2025-07-20 08:52:51
C00158,Unsafe area,Unsafe area. Meet international sound lead itself anyone cup girl business all step better building hold her.,Public Safety,High,65,90,True,17.51338928,78.363389,Pending,2025-10-24 08:52:51
C00159,Overflowing waste bins,Overflowing waste bins. Institution room together ask note still personal challenge appear firm foot.,Sanitation,High,84,0,False,17.37389718,78.43638624,Assigned,2025-06-17 08:52:51
C00160,Traffic congestion,Traffic congestion. Early choose offer music place he reality recently news why social ahead determine national sing.,Traffic,Low,14,46,False,17.44374348,78.53419819,Pending,2026-05-22 08:52:51
C00161,Broken bench,Broken bench. Could majority myself cell well prepare offer third goal sense democratic.,Parks,High,67,47,True,17.2616962,78.38487995,Assigned,2025-10-08 08:52:51
C00162,Traffic signal failure,Traffic signal failure. Wind world star tend claim board many world particular move rich.,Traffic,Low,3,12,False,17.38318602,78.47746917,In Progress,2025-10-08 08:52:51
C00163,No water supply,No water supply. Economy difficult glass win mind either respond ok hard nearly something claim control reach.,Water Supply,Low,0,59,False,17.35255533,78.52059586,Pending,2025-12-03 08:52:51
C00164,Road crack,Road crack. Two fall season job thousand car admit art.,Roads,Critical,94,94,False,17.23518168,78.53474778,Assigned,2025-09-18 08:52:51
C00165,Waterlogging,Waterlogging. Perform tax war determine make sell ability necessary simply eat.,Drainage,High,51,83,False,17.31977939,78.5394547,Resolved,2026-01-26 08:52:51
C00166,Sewage overflow,Sewage overflow. American by fund finish write should big I authority executive language.,Drainage,Medium,29,26,True,17.37940345,78.45389585,Closed,2025-09-27 08:52:51
